id,kind,archetype_id,archetype_name,level,power,power_band,seed,weapon_id,spell_ids,passive_id,pet_id,weapon_level,weapon_quality_tier
L3_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,3,210,band_001,battle_lab_character_rework_20260525:defensive_occultist:L3:fixed:0,idolo_pedra_viva,,,,2,0
L3_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,3,250,band_001,battle_lab_character_rework_20260525:defensive_occultist:L3:random:1,athame_hematico,sussurro_medo,,,2,0
L3_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,3,210,band_001,battle_lab_character_rework_20260525:dot_pressure:L3:fixed:0,athame_hematico,,,,2,0
L3_dot_pressure_r1,random,dot_pressure,DoT Pressure,3,250,band_001,battle_lab_character_rework_20260525:dot_pressure:L3:random:1,varinha_cinzas,sussurro_medo,,,2,0
L3_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,3,240,band_001,battle_lab_character_rework_20260525:funeral_burst:L3:fixed:0,cajado_ossario,,,,3,0
L3_funeral_burst_r1,random,funeral_burst,Funeral Burst,3,300,band_002,battle_lab_character_rework_20260525:funeral_burst:L3:random:1,idolo_pedra_viva,sussurro_medo,,,3,0
L7_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,7,530,band_002,battle_lab_character_rework_20260525:starter_instrument:L7:fixed:0,varinha_cinzas,,,,6,0
L7_starter_instrument_r1,random,starter_instrument,Starter Instrument,7,500,band_002,battle_lab_character_rework_20260525:starter_instrument:L7:random:1,athame_hematico,,,,5,0
L7_mental_controller_fixed,fixed,mental_controller,Mental Controller,7,795,band_003,battle_lab_character_rework_20260525:mental_controller:L7:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,,,6,1
L7_mental_controller_r1,random,mental_controller,Mental Controller,7,765,band_003,battle_lab_character_rework_20260525:mental_controller:L7:random:1,orbe_tempestade,terror_primordial|lamina_vento,,,5,1
L7_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,7,795,band_003,battle_lab_character_rework_20260525:elemental_mixer:L7:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa,,,6,1
L7_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,7,840,band_003,battle_lab_character_rework_20260525:elemental_mixer:L7:random:1,cetro_braseiro_negro,geada_ossos|sussurro_medo,,,7,0
L7_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,7,795,band_003,battle_lab_character_rework_20260525:familiar_handler:L7:fixed:0,varinha_cinzas,sussurro_medo|geada_ossos,,,6,1
L7_familiar_handler_r1,random,familiar_handler,Familiar Handler,7,700,band_003,battle_lab_character_rework_20260525:familiar_handler:L7:random:1,varinha_cinzas,marca_brasa|mare_escura,,,5,0
L7_summoner_fixed,fixed,summoner,Summoner,7,700,band_003,battle_lab_character_rework_20260525:summoner:L7:fixed:0,cajado_ossario,sussurro_medo,,,6,2
L7_summoner_r1,random,summoner,Summoner,7,765,band_003,battle_lab_character_rework_20260525:summoner:L7:random:1,athame_hematico,sussurro_medo|geada_ossos,,,5,1
L7_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,7,625,band_003,battle_lab_character_rework_20260525:defensive_occultist:L7:fixed:0,idolo_pedra_viva,geada_ossos,,,5,1
L7_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,7,630,band_003,battle_lab_character_rework_20260525:defensive_occultist:L7:random:1,orbe_tempestade,mare_escura,,,6,0
L7_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,7,805,band_003,battle_lab_character_rework_20260525:dot_pressure:L7:fixed:0,athame_hematico,toxina_palida|marca_brasa,,,5,1
L7_dot_pressure_r1,random,dot_pressure,DoT Pressure,7,640,band_003,battle_lab_character_rework_20260525:dot_pressure:L7:random:1,varinha_cinzas,marca_brasa,,,4,2
L7_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,7,835,band_003,battle_lab_character_rework_20260525:funeral_burst:L7:fixed:0,cajado_ossario,descarga_nervosa|incisao_ritual,,,6,1
L7_funeral_burst_r1,random,funeral_burst,Funeral Burst,7,705,band_003,battle_lab_character_rework_20260525:funeral_burst:L7:random:1,selo_mare_fria,lamina_vento,,,7,1
L10_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,10,740,band_003,battle_lab_character_rework_20260525:starter_instrument:L10:fixed:0,varinha_cinzas,,,,8,0
L10_starter_instrument_r1,random,starter_instrument,Starter Instrument,10,710,band_003,battle_lab_character_rework_20260525:starter_instrument:L10:random:1,cetro_braseiro_negro,,,,7,0
L10_mental_controller_fixed,fixed,mental_controller,Mental Controller,10,1205,band_004,battle_lab_character_rework_20260525:mental_controller:L10:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,doutrina_pavor,,8,1
L10_mental_controller_r1,random,mental_controller,Mental Controller,10,985,band_003,battle_lab_character_rework_20260525:mental_controller:L10:random:1,varinha_cinzas,labirinto_razao,alquimia_toxica,,7,1
L10_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,10,1185,band_003,battle_lab_character_rework_20260525:elemental_mixer:L10:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,9,1
L10_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,10,965,band_003,battle_lab_character_rework_20260525:elemental_mixer:L10:random:1,athame_hematico,sussurro_medo,doutrina_pavor,,7,1
L10_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,10,1195,band_003,battle_lab_character_rework_20260525:familiar_handler:L10:fixed:0,varinha_cinzas,sussurro_medo|geada_ossos,pacto_familiar,,9,1
L10_familiar_handler_r1,random,familiar_handler,Familiar Handler,10,1170,band_003,battle_lab_character_rework_20260525:familiar_handler:L10:random:1,idolo_pedra_viva,geada_ossos|lamina_vento,mente_fria,,8,0
L10_summoner_fixed,fixed,summoner,Summoner,10,1050,band_003,battle_lab_character_rework_20260525:summoner:L10:fixed:0,cajado_ossario,sussurro_medo,ossuario_interior,,8,2
L10_summoner_r1,random,summoner,Summoner,10,1025,band_003,battle_lab_character_rework_20260525:summoner:L10:random:1,orbe_tempestade,geada_ossos,anatomista_profano,,8,1
L10_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,10,995,band_003,battle_lab_character_rework_20260525:defensive_occultist:L10:fixed:0,idolo_pedra_viva,geada_ossos,pedra_interna,,7,1
L10_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,10,1020,band_003,battle_lab_character_rework_20260525:defensive_occultist:L10:random:1,cajado_ossario,terror_primordial,anatomista_profano,,8,0
L10_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,10,1245,band_004,battle_lab_character_rework_20260525:dot_pressure:L10:fixed:0,athame_hematico,toxina_palida|marca_brasa,alquimia_toxica,,8,1
L10_dot_pressure_r1,random,dot_pressure,DoT Pressure,10,1180,band_003,battle_lab_character_rework_20260525:dot_pressure:L10:random:1,cajado_ossario,lamina_vento|toxina_palida,doutrina_pavor,,8,0
L10_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,10,1275,band_004,battle_lab_character_rework_20260525:funeral_burst:L10:fixed:0,cajado_ossario,descarga_nervosa|incisao_ritual,ossuario_interior,,9,1
L10_funeral_burst_r1,random,funeral_burst,Funeral Burst,10,1235,band_004,battle_lab_character_rework_20260525:funeral_burst:L10:random:1,cajado_ossario,marca_brasa|mare_escura,pacto_familiar,,9,1
L15_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,15,1135,band_003,battle_lab_character_rework_20260525:starter_instrument:L15:fixed:0,varinha_cinzas,,,,12,1
L15_starter_instrument_r1,random,starter_instrument,Starter Instrument,15,1080,band_003,battle_lab_character_rework_20260525:starter_instrument:L15:random:1,cetro_braseiro_negro,,,,11,0
L15_mental_controller_fixed,fixed,mental_controller,Mental Controller,15,1940,band_004,battle_lab_character_rework_20260525:mental_controller:L15:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,doutrina_pavor,corvo_pressagio,12,2
L15_mental_controller_r1,random,mental_controller,Mental Controller,15,1790,band_004,battle_lab_character_rework_20260525:mental_controller:L15:random:1,selo_mare_fria,lamina_vento|mare_escura,doutrina_pavor,serpente_toxina,10,2
L15_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,15,1945,band_004,battle_lab_character_rework_20260525:elemental_mixer:L15:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,13,2
L15_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,15,1930,band_004,battle_lab_character_rework_20260525:elemental_mixer:L15:random:1,athame_hematico,incisao_ritual|hemorragia_induzida,pedra_interna,olho_veu,13,2
L15_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,15,1960,band_004,battle_lab_character_rework_20260525:familiar_handler:L15:fixed:0,varinha_cinzas,sussurro_medo|geada_ossos,pacto_familiar,corvo_pressagio,13,2
L15_familiar_handler_r1,random,familiar_handler,Familiar Handler,15,2170,band_004,battle_lab_character_rework_20260525:familiar_handler:L15:random:1,varinha_cinzas,coagulo_negro|geada_ossos,alquimia_toxica,olho_veu,14,3
L15_summoner_fixed,fixed,summoner,Summoner,15,1740,band_004,battle_lab_character_rework_20260525:summoner:L15:fixed:0,cajado_ossario,sussurro_medo,ossuario_interior,cranio_errante,12,3
L15_summoner_r1,random,summoner,Summoner,15,2085,band_004,battle_lab_character_rework_20260525:summoner:L15:random:1,cetro_braseiro_negro,coagulo_negro|incisao_ritual,sangue_obediente,olho_veu,10,4
L15_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,15,1875,band_004,battle_lab_character_rework_20260525:defensive_occultist:L15:fixed:0,idolo_pedra_viva,coagulo_negro|raizes_pedra,pedra_interna,escaravelho_pedra,11,2
L15_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,15,1590,band_004,battle_lab_character_rework_20260525:defensive_occultist:L15:random:1,selo_mare_fria,labirinto_razao,anatomista_profano,corvo_pressagio,11,2
L15_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,15,1965,band_004,battle_lab_character_rework_20260525:dot_pressure:L15:fixed:0,athame_hematico,toxina_palida|marca_brasa,alquimia_toxica,serpente_toxina,11,2
L15_dot_pressure_r1,random,dot_pressure,DoT Pressure,15,1980,band_004,battle_lab_character_rework_20260525:dot_pressure:L15:random:1,idolo_pedra_viva,sussurro_medo|terror_primordial,cinza_viva,medusa_mare_fria,13,3
L15_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,15,2050,band_004,battle_lab_character_rework_20260525:funeral_burst:L15:fixed:0,cajado_ossario,descarga_nervosa|incisao_ritual,ossuario_interior,cranio_errante,14,2
L15_funeral_burst_r1,random,funeral_burst,Funeral Burst,15,1955,band_004,battle_lab_character_rework_20260525:funeral_burst:L15:random:1,orbe_tempestade,lamina_vento|incisao_ritual,cinza_viva,corvo_pressagio,13,2
L25_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,25,1900,band_004,battle_lab_character_rework_20260525:starter_instrument:L25:fixed:0,varinha_cinzas,,,,20,2
L25_starter_instrument_r1,random,starter_instrument,Starter Instrument,25,1875,band_004,battle_lab_character_rework_20260525:starter_instrument:L25:random:1,grimorio_veu,,,,20,1
L25_mental_controller_fixed,fixed,mental_controller,Mental Controller,25,3705,band_005,battle_lab_character_rework_20260525:mental_controller:L25:fixed:0,grimorio_veu,sussurro_medo|terror_primordial|labirinto_razao,doutrina_pavor,corvo_pressagio,21,3
L25_mental_controller_r1,random,mental_controller,Mental Controller,25,3385,band_005,battle_lab_character_rework_20260525:mental_controller:L25:random:1,idolo_pedra_viva,erguer_ossos|mandato_oculto,mente_fria,cao_cinzas,20,4
L25_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,25,3605,band_005,battle_lab_character_rework_20260525:elemental_mixer:L25:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa|mare_escura,pulso_tempestade,serpe_tempestade,21,3
L25_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,25,2785,band_005,battle_lab_character_rework_20260525:elemental_mixer:L25:random:1,athame_hematico,putrefacao,mente_fria,serpe_tempestade,21,4
L25_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,25,3705,band_005,battle_lab_character_rework_20260525:familiar_handler:L25:fixed:0,varinha_cinzas,sussurro_medo|geada_ossos|marca_brasa,pacto_familiar,corvo_pressagio,21,3
L25_familiar_handler_r1,random,familiar_handler,Familiar Handler,25,3270,band_005,battle_lab_character_rework_20260525:familiar_handler:L25:random:1,idolo_pedra_viva,mandato_oculto|prisao_gelo,anatomista_profano,sanguessuga_sacramental,20,4
L25_summoner_fixed,fixed,summoner,Summoner,25,3835,band_005,battle_lab_character_rework_20260525:summoner:L25:fixed:0,cajado_ossario,sussurro_medo|erguer_ossos|invocar_brasa_faminta,ossuario_interior,cranio_errante,21,4
L25_summoner_r1,random,summoner,Summoner,25,2780,band_005,battle_lab_character_rework_20260525:summoner:L25:random:1,cajado_ossario,incisao_ritual,pedra_interna,sanguessuga_sacramental,19,3
L25_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,25,3515,band_005,battle_lab_character_rework_20260525:defensive_occultist:L25:fixed:0,idolo_pedra_viva,coagulo_negro|raizes_pedra|geada_ossos,pedra_interna,escaravelho_pedra,18,3
L25_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,25,2635,band_005,battle_lab_character_rework_20260525:defensive_occultist:L25:random:1,varinha_cinzas,terror_primordial,mare_silenciosa,sanguessuga_sacramental,14,3
L25_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,25,3810,band_005,battle_lab_character_rework_20260525:dot_pressure:L25:fixed:0,athame_hematico,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina,19,3
L25_dot_pressure_r1,random,dot_pressure,DoT Pressure,25,2735,band_005,battle_lab_character_rework_20260525:dot_pressure:L25:random:1,grimorio_veu,invocar_brasa_faminta,doutrina_pavor,serpe_tempestade,17,4
L25_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,25,3895,band_005,battle_lab_character_rework_20260525:funeral_burst:L25:fixed:0,cajado_ossario,marca_sepulcral|coroa_cinzas|descarga_nervosa,ossuario_interior,cranio_errante,23,3
L25_funeral_burst_r1,random,funeral_burst,Funeral Burst,25,4065,band_005,battle_lab_character_rework_20260525:funeral_burst:L25:random:1,idolo_pedra_viva,coagulo_negro|coroa_cinzas|invocar_brasa_faminta,ossuario_interior,cao_cinzas,25,4
L40_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,40,3035,band_005,battle_lab_character_rework_20260525:starter_instrument:L40:fixed:0,varinha_cinzas,,,,32,3
L40_starter_instrument_r1,random,starter_instrument,Starter Instrument,40,2855,band_005,battle_lab_character_rework_20260525:starter_instrument:L40:random:1,idolo_pedra_viva,,,,26,3
L40_mental_controller_fixed,fixed,mental_controller,Mental Controller,40,5880,band_005,battle_lab_character_rework_20260525:mental_controller:L40:fixed:0,grimorio_veu,sussurro_medo|terror_primordial|labirinto_razao,doutrina_pavor,corvo_pressagio,33,4
L40_mental_controller_r1,random,mental_controller,Mental Controller,40,5185,band_005,battle_lab_character_rework_20260525:mental_controller:L40:random:1,cajado_ossario,sussurro_medo|labirinto_razao,pulso_tempestade,sanguessuga_sacramental,35,4
L40_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,40,5740,band_005,battle_lab_character_rework_20260525:elemental_mixer:L40:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa|mare_escura,pulso_tempestade,serpe_tempestade,34,4
L40_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,40,5260,band_005,battle_lab_character_rework_20260525:elemental_mixer:L40:random:1,cetro_braseiro_negro,geada_ossos|toxina_palida|coagulo_negro,pedra_interna,corvo_pressagio,31,4
L40_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,40,5880,band_005,battle_lab_character_rework_20260525:familiar_handler:L40:fixed:0,varinha_cinzas,sussurro_medo|geada_ossos|marca_brasa,pacto_familiar,corvo_pressagio,34,4
L40_familiar_handler_r1,random,familiar_handler,Familiar Handler,40,5300,band_005,battle_lab_character_rework_20260525:familiar_handler:L40:random:1,grimorio_veu,labirinto_razao|hemorragia_induzida,doutrina_pavor,escaravelho_pedra,34,3
L40_summoner_fixed,fixed,summoner,Summoner,40,6000,band_005,battle_lab_character_rework_20260525:summoner:L40:fixed:0,cajado_ossario,sussurro_medo|erguer_ossos|invocar_brasa_faminta,ossuario_interior,cranio_errante,33,4
L40_summoner_r1,random,summoner,Summoner,40,5265,band_005,battle_lab_character_rework_20260525:summoner:L40:random:1,cajado_ossario,erguer_ossos|coagulo_negro,pedra_interna,corvo_pressagio,39,4
L40_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,40,5540,band_005,battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0,idolo_pedra_viva,coagulo_negro|raizes_pedra|geada_ossos,pedra_interna,escaravelho_pedra,28,4
L40_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,40,5900,band_005,battle_lab_character_rework_20260525:defensive_occultist:L40:random:1,grimorio_veu,sussurro_medo|lamina_vento|erguer_ossos,pedra_interna,cranio_errante,33,3
L40_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,40,6030,band_005,battle_lab_character_rework_20260525:dot_pressure:L40:fixed:0,athame_hematico,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina,30,4
L40_dot_pressure_r1,random,dot_pressure,DoT Pressure,40,4395,band_005,battle_lab_character_rework_20260525:dot_pressure:L40:random:1,cetro_braseiro_negro,incisao_ritual,alquimia_toxica,sanguessuga_sacramental,27,4
L40_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,40,6170,band_005,battle_lab_character_rework_20260525:funeral_burst:L40:fixed:0,cajado_ossario,marca_sepulcral|coroa_cinzas|descarga_nervosa,ossuario_interior,cranio_errante,36,4
L40_funeral_burst_r1,random,funeral_burst,Funeral Burst,40,5220,band_005,battle_lab_character_rework_20260525:funeral_burst:L40:random:1,cajado_ossario,raizes_pedra|erguer_ossos,pulso_tempestade,cranio_errante,40,4
PL_free_50_rewards_2h,fixed,elemental_mixer,Elemental Mixer,8,651,band_003,battle_lab_character_rework_20260525:progression_save:free_50_rewards_2h,orbe_tempestade,descarga_nervosa|marca_brasa,,,5,0
PL_free_50_rewards_5h,fixed,elemental_mixer,Elemental Mixer,10,934,band_003,battle_lab_character_rework_20260525:progression_save:free_50_rewards_5h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,6,0
PL_free_50_rewards_10h,fixed,elemental_mixer,Elemental Mixer,12,1176,band_003,battle_lab_character_rework_20260525:progression_save:free_50_rewards_10h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,8,0
PL_free_50_rewards_15h,fixed,elemental_mixer,Elemental Mixer,14,1358,band_004,battle_lab_character_rework_20260525:progression_save:free_50_rewards_15h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,9,0
PL_free_50_rewards_20h,fixed,elemental_mixer,Elemental Mixer,15,1567,band_004,battle_lab_character_rework_20260525:progression_save:free_50_rewards_20h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,9,0
PL_free_100_rewards_2h,fixed,funeral_burst,Funeral Burst,8,682,band_003,battle_lab_character_rework_20260525:progression_save:free_100_rewards_2h,cajado_ossario,descarga_nervosa,,,6,0
PL_free_100_rewards_5h,fixed,funeral_burst,Funeral Burst,11,1003,band_003,battle_lab_character_rework_20260525:progression_save:free_100_rewards_5h,cajado_ossario,descarga_nervosa,ossuario_interior,,8,0
PL_free_100_rewards_10h,fixed,funeral_burst,Funeral Burst,14,1337,band_004,battle_lab_character_rework_20260525:progression_save:free_100_rewards_10h,cajado_ossario,descarga_nervosa,ossuario_interior,,11,0
PL_free_100_rewards_15h,fixed,elemental_mixer,Elemental Mixer,16,1869,band_004,battle_lab_character_rework_20260525:progression_save:free_100_rewards_15h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,12,0
PL_free_100_rewards_20h,fixed,elemental_mixer,Elemental Mixer,17,2004,band_004,battle_lab_character_rework_20260525:progression_save:free_100_rewards_20h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,13,0
PL_freemium_basic_2h,fixed,funeral_burst,Funeral Burst,9,763,band_003,battle_lab_character_rework_20260525:progression_save:freemium_basic_2h,cajado_ossario,descarga_nervosa,,,7,0
PL_freemium_basic_5h,fixed,funeral_burst,Funeral Burst,11,1065,band_003,battle_lab_character_rework_20260525:progression_save:freemium_basic_5h,cajado_ossario,descarga_nervosa,ossuario_interior,,9,0
PL_freemium_basic_10h,fixed,funeral_burst,Funeral Burst,14,1377,band_004,battle_lab_character_rework_20260525:progression_save:freemium_basic_10h,cajado_ossario,descarga_nervosa,ossuario_interior,,11,0
PL_freemium_basic_15h,fixed,familiar_handler,Familiar Handler,16,1976,band_004,battle_lab_character_rework_20260525:progression_save:freemium_basic_15h,varinha_cinzas,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio,13,0
PL_freemium_basic_20h,fixed,familiar_handler,Familiar Handler,17,2118,band_004,battle_lab_character_rework_20260525:progression_save:freemium_basic_20h,varinha_cinzas,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio,14,0
PL_spender_light_2h,fixed,funeral_burst,Funeral Burst,9,813,band_003,battle_lab_character_rework_20260525:progression_save:spender_light_2h,cajado_ossario,descarga_nervosa,,,8,0
PL_spender_light_5h,fixed,funeral_burst,Funeral Burst,12,1195,band_003,battle_lab_character_rework_20260525:progression_save:spender_light_5h,cajado_ossario,descarga_nervosa,ossuario_interior,,10,0
PL_spender_light_10h,fixed,familiar_handler,Familiar Handler,15,1956,band_004,battle_lab_character_rework_20260525:progression_save:spender_light_10h,varinha_cinzas,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio,13,0
PL_spender_light_15h,fixed,familiar_handler,Familiar Handler,16,2084,band_004,battle_lab_character_rework_20260525:progression_save:spender_light_15h,varinha_cinzas,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio,14,0
PL_spender_light_20h,fixed,familiar_handler,Familiar Handler,18,2372,band_005,battle_lab_character_rework_20260525:progression_save:spender_light_20h,varinha_cinzas,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio,16,0
PL_max_spender_2h,fixed,funeral_burst,Funeral Burst,9,873,band_003,battle_lab_character_rework_20260525:progression_save:max_spender_2h,cajado_ossario,descarga_nervosa,,,9,0
PL_max_spender_5h,fixed,funeral_burst,Funeral Burst,12,1317,band_004,battle_lab_character_rework_20260525:progression_save:max_spender_5h,cajado_ossario,descarga_nervosa,ossuario_interior,,12,0
PL_max_spender_10h,fixed,familiar_handler,Familiar Handler,15,2109,band_004,battle_lab_character_rework_20260525:progression_save:max_spender_10h,varinha_cinzas,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio,15,0
