id,kind,archetype_id,archetype_name,level,power,power_band,seed,weapon_id,spell_ids,passive_id,pet_id,weapon_level,weapon_quality_tier,track16_scenario_id,potion_slot,spell_behaviors
L15_mental_controller_fixed,fixed,mental_controller,Mental Controller,15,2712,band_005,battle_lab_character_rework_20260525:mental_controller:L15:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,doutrina_pavor,corvo_pressagio,9,2,,,
L15_mental_controller_r1,random,mental_controller,Mental Controller,15,2474,band_005,battle_lab_character_rework_20260525:mental_controller:L15:random:1,selo_mare_fria,lamina_vento|mare_escura,doutrina_pavor,serpente_toxina,7,2,,,
L15_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,15,2740,band_005,battle_lab_character_rework_20260525:elemental_mixer:L15:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,10,2,,,
L15_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,15,2750,band_005,battle_lab_character_rework_20260525:elemental_mixer:L15:random:1,athame_hematico,incisao_ritual|hemorragia_induzida,pedra_interna,olho_veu,10,2,,,
L15_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,15,2558,band_005,battle_lab_character_rework_20260525:familiar_handler:L15:fixed:0,varinha_cinzas,sussurro_medo|incisao_ritual,pacto_familiar,corvo_pressagio,8,2,,,
L15_familiar_handler_r1,random,familiar_handler,Familiar Handler,15,2822,band_005,battle_lab_character_rework_20260525:familiar_handler:L15:random:1,varinha_cinzas,coagulo_negro|incisao_ritual,alquimia_toxica,cranio_errante,9,3,,,
L15_summoner_fixed,fixed,summoner,Summoner,15,2228,band_005,battle_lab_character_rework_20260525:summoner:L15:fixed:0,cajado_ossario,sussurro_medo,ossuario_interior,cranio_errante,8,3,,,
L15_summoner_r1,random,summoner,Summoner,15,2936,band_005,battle_lab_character_rework_20260525:summoner:L15:random:1,cetro_braseiro_negro,coagulo_negro|incisao_ritual,sangue_obediente,olho_veu,6,4,,,
L15_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,15,2784,band_005,battle_lab_character_rework_20260525:defensive_occultist:L15:fixed:0,idolo_pedra_viva,coagulo_negro|raizes_pedra,pedra_interna,escaravelho_pedra,8,2,,,
L15_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,15,2076,band_004,battle_lab_character_rework_20260525:defensive_occultist:L15:random:1,selo_mare_fria,labirinto_razao,anatomista_profano,corvo_pressagio,9,2,,,
L15_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,15,2684,band_005,battle_lab_character_rework_20260525:dot_pressure:L15:fixed:0,athame_hematico,toxina_palida|marca_brasa,alquimia_toxica,serpente_toxina,8,2,,,
L15_dot_pressure_r1,random,dot_pressure,DoT Pressure,15,2542,band_005,battle_lab_character_rework_20260525:dot_pressure:L15:random:1,idolo_pedra_viva,sussurro_medo|terror_primordial,cinza_viva,medusa_mare_fria,10,3,,,
L15_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,15,2814,band_005,battle_lab_character_rework_20260525:funeral_burst:L15:fixed:0,cajado_ossario,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante,9,2,,,
L15_funeral_burst_r1,random,funeral_burst,Funeral Burst,15,2650,band_005,battle_lab_character_rework_20260525:funeral_burst:L15:random:1,orbe_tempestade,lamina_vento|marca_brasa,cinza_viva,corvo_pressagio,8,2,,,
L25_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,25,1670,band_004,battle_lab_character_rework_20260525:starter_instrument:L25:fixed:0,varinha_cinzas,,,,20,2,,,
L25_starter_instrument_r1,random,starter_instrument,Starter Instrument,25,1640,band_004,battle_lab_character_rework_20260525:starter_instrument:L25:random:1,grimorio_veu,,,,20,1,,,
L25_mental_controller_fixed,fixed,mental_controller,Mental Controller,25,5566,band_005,battle_lab_character_rework_20260525:mental_controller:L25:fixed:0,grimorio_veu,sussurro_medo|terror_primordial|labirinto_razao,doutrina_pavor,corvo_pressagio,16,3,,,
L25_mental_controller_r1,random,mental_controller,Mental Controller,25,4790,band_005,battle_lab_character_rework_20260525:mental_controller:L25:random:1,idolo_pedra_viva,erguer_ossos|mandato_oculto,mente_fria,cao_cinzas,15,4,,,
L25_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,25,5544,band_005,battle_lab_character_rework_20260525:elemental_mixer:L25:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa|mare_escura,pulso_tempestade,serpe_tempestade,16,3,,,
L25_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,25,3540,band_005,battle_lab_character_rework_20260525:elemental_mixer:L25:random:1,athame_hematico,putrefacao,mente_fria,serpe_tempestade,16,4,,,
L25_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,25,5064,band_005,battle_lab_character_rework_20260525:familiar_handler:L25:fixed:0,varinha_cinzas,sussurro_medo|incisao_ritual|mare_escura,pacto_familiar,corvo_pressagio,14,3,,,
L25_familiar_handler_r1,random,familiar_handler,Familiar Handler,25,4246,band_005,battle_lab_character_rework_20260525:familiar_handler:L25:random:1,idolo_pedra_viva,mandato_oculto|prisao_gelo,anatomista_profano,serpente_toxina,13,4,,,
L25_summoner_fixed,fixed,summoner,Summoner,25,5694,band_005,battle_lab_character_rework_20260525:summoner:L25:fixed:0,cajado_ossario,sussurro_medo|erguer_ossos|invocar_brasa_faminta,ossuario_interior,cranio_errante,14,4,,,
L25_summoner_r1,random,summoner,Summoner,25,3508,band_005,battle_lab_character_rework_20260525:summoner:L25:random:1,cajado_ossario,incisao_ritual,pedra_interna,sanguessuga_sacramental,12,3,,,
L25_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,25,5534,band_005,battle_lab_character_rework_20260525:defensive_occultist:L25:fixed:0,idolo_pedra_viva,coagulo_negro|raizes_pedra|geada_ossos,pedra_interna,escaravelho_pedra,14,3,,,
L25_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,25,3626,band_005,battle_lab_character_rework_20260525:defensive_occultist:L25:random:1,varinha_cinzas,terror_primordial,mare_silenciosa,sanguessuga_sacramental,10,3,,,
L25_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,25,5368,band_005,battle_lab_character_rework_20260525:dot_pressure:L25:fixed:0,athame_hematico,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina,14,3,,,
L25_dot_pressure_r1,random,dot_pressure,DoT Pressure,25,3342,band_005,battle_lab_character_rework_20260525:dot_pressure:L25:random:1,grimorio_veu,invocar_brasa_faminta,doutrina_pavor,serpe_tempestade,12,4,,,
L25_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,25,5708,band_005,battle_lab_character_rework_20260525:funeral_burst:L25:fixed:0,cajado_ossario,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante,16,3,,,
L25_funeral_burst_r1,random,funeral_burst,Funeral Burst,25,5850,band_005,battle_lab_character_rework_20260525:funeral_burst:L25:random:1,idolo_pedra_viva,coagulo_negro|marca_brasa|invocar_brasa_faminta,ossuario_interior,cao_cinzas,18,4,,,
L40_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,40,2666,band_005,battle_lab_character_rework_20260525:starter_instrument:L40:fixed:0,varinha_cinzas,,,,32,3,,,
L40_starter_instrument_r1,random,starter_instrument,Starter Instrument,40,2498,band_005,battle_lab_character_rework_20260525:starter_instrument:L40:random:1,idolo_pedra_viva,,,,26,3,,,
L40_mental_controller_fixed,fixed,mental_controller,Mental Controller,40,8808,band_005,battle_lab_character_rework_20260525:mental_controller:L40:fixed:0,grimorio_veu,sussurro_medo|terror_primordial|labirinto_razao,doutrina_pavor,corvo_pressagio,25,4,,,
L40_mental_controller_r1,random,mental_controller,Mental Controller,40,7248,band_005,battle_lab_character_rework_20260525:mental_controller:L40:random:1,cajado_ossario,sussurro_medo|labirinto_razao,pulso_tempestade,sanguessuga_sacramental,27,4,,,
L40_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,40,8792,band_005,battle_lab_character_rework_20260525:elemental_mixer:L40:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa|mare_escura,pulso_tempestade,serpe_tempestade,26,4,,,
L40_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,40,7904,band_005,battle_lab_character_rework_20260525:elemental_mixer:L40:random:1,cetro_braseiro_negro,geada_ossos|toxina_palida|coagulo_negro,pedra_interna,corvo_pressagio,23,4,,,
L40_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,40,7952,band_005,battle_lab_character_rework_20260525:familiar_handler:L40:fixed:0,varinha_cinzas,sussurro_medo|incisao_ritual|mare_escura,pacto_familiar,corvo_pressagio,22,4,,,
L40_familiar_handler_r1,random,familiar_handler,Familiar Handler,40,6906,band_005,battle_lab_character_rework_20260525:familiar_handler:L40:random:1,grimorio_veu,labirinto_razao|hemorragia_induzida,doutrina_pavor,escaravelho_pedra,22,3,,,
L40_summoner_fixed,fixed,summoner,Summoner,40,8912,band_005,battle_lab_character_rework_20260525:summoner:L40:fixed:0,cajado_ossario,sussurro_medo|erguer_ossos|invocar_brasa_faminta,ossuario_interior,cranio_errante,22,4,,,
L40_summoner_r1,random,summoner,Summoner,40,7110,band_005,battle_lab_character_rework_20260525:summoner:L40:random:1,cajado_ossario,erguer_ossos|coagulo_negro,pedra_interna,corvo_pressagio,28,4,,,
L40_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,40,8728,band_005,battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0,idolo_pedra_viva,coagulo_negro|raizes_pedra|geada_ossos,pedra_interna,escaravelho_pedra,22,4,,,
L40_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,40,9038,band_005,battle_lab_character_rework_20260525:defensive_occultist:L40:random:1,grimorio_veu,sussurro_medo|lamina_vento|erguer_ossos,pedra_interna,cranio_errante,27,3,,,
L40_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,40,8526,band_005,battle_lab_character_rework_20260525:dot_pressure:L40:fixed:0,athame_hematico,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina,22,4,,,
L40_dot_pressure_r1,random,dot_pressure,DoT Pressure,40,5490,band_005,battle_lab_character_rework_20260525:dot_pressure:L40:random:1,cetro_braseiro_negro,incisao_ritual,alquimia_toxica,sanguessuga_sacramental,19,4,,,
L40_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,40,9092,band_005,battle_lab_character_rework_20260525:funeral_burst:L40:fixed:0,cajado_ossario,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante,25,4,,,
L40_funeral_burst_r1,random,funeral_burst,Funeral Burst,40,7004,band_005,battle_lab_character_rework_20260525:funeral_burst:L40:random:1,cajado_ossario,raizes_pedra|erguer_ossos,pulso_tempestade,cranio_errante,31,4,,,
PL_free_50_rewards_2h,fixed,elemental_mixer,Elemental Mixer,8,500,band_002,battle_lab_character_rework_20260525:progression_save:free_50_rewards_2h,orbe_tempestade,descarga_nervosa|marca_brasa,,,3,0,,,"{""descarga_nervosa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}},""marca_brasa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}}}"
PL_free_50_rewards_5h,fixed,elemental_mixer,Elemental Mixer,11,806,band_003,battle_lab_character_rework_20260525:progression_save:free_50_rewards_5h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,5,0,,"{""slotIndex"":1,""itemId"":""pocao_vida"",""quantity"":2,""behavior"":{""enabled"":true,""hp"":{""mode"":""below"",""percent"":40},""mana"":{""mode"":""ignore"",""percent"":0}}}","{""descarga_nervosa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}},""marca_brasa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}}}"
PL_free_50_rewards_10h,fixed,elemental_mixer,Elemental Mixer,14,1312,band_004,battle_lab_character_rework_20260525:progression_save:free_50_rewards_10h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,7,0,,"{""slotIndex"":1,""itemId"":""pocao_vida"",""quantity"":3,""behavior"":{""enabled"":true,""hp"":{""mode"":""below"",""percent"":40},""mana"":{""mode"":""ignore"",""percent"":0}}}","{""descarga_nervosa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}},""marca_brasa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}}}"
PL_free_50_rewards_15h,fixed,elemental_mixer,Elemental Mixer,16,1974,band_004,battle_lab_character_rework_20260525:progression_save:free_50_rewards_15h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,8,0,,"{""slotIndex"":1,""itemId"":""pocao_vida"",""quantity"":4,""behavior"":{""enabled"":true,""hp"":{""mode"":""below"",""percent"":40},""mana"":{""mode"":""ignore"",""percent"":0}}}","{""descarga_nervosa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}},""marca_brasa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}}}"
PL_free_50_rewards_20h,fixed,elemental_mixer,Elemental Mixer,20,2612,band_005,battle_lab_character_rework_20260525:progression_save:free_50_rewards_20h,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade,10,0,,"{""slotIndex"":1,""itemId"":""pocao_vida"",""quantity"":5,""behavior"":{""enabled"":true,""hp"":{""mode"":""below"",""percent"":40},""mana"":{""mode"":""ignore"",""percent"":0}}}","{""descarga_nervosa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}},""marca_brasa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}}}"
PL_free_100_rewards_2h,fixed,funeral_burst,Funeral Burst,10,684,band_003,battle_lab_character_rework_20260525:progression_save:free_100_rewards_2h,cajado_ossario,descarga_nervosa|marca_brasa,ossuario_interior,,5,0,,,"{""descarga_nervosa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}},""marca_brasa"":{""enabled"":true,""hp"":{""mode"":""ignore"",""percent"":0},""mana"":{""mode"":""ignore"",""percent"":0}}}"
